Vendor,Product,Version,Vulnerabilities Fixed
Steve D,SpeakOut! Email Petitions,Unknown,CVE-2025-22309
Steven Soehl,WP-Revive Adserver,Unknown,CVE-2025-23802
StoreApps,Smart Manager,Unknown,CVE-2025-22710
Stormhill Media,MyBookTable Bookstore,Unknown,CVE-2025-22301
Strx,Strx Magic Floating Sidebar Maker,Unknown,CVE-2025-23827
StylemixThemes,uListing,Unknown,CVE-2025-25151
Subhasis Laha,Gallerio,Unknown,CVE-2025-23629
SubscriptionDNA.com,Subscription DNA,Unknown,CVE-2025-24555
Sur.ly,Sur.ly,Unknown,CVE-2025-23957
Surbma,Surbma | Premium WP,Unknown,CVE-2025-22808
Survey Maker team,Survey Maker,Unknown,CVE-2025-22664
SuryaBhan,Custom Coming Soon,Unknown,CVE-2025-23836
Sven Hofmann & Michael Schoenrock,Mark Posts,Unknown,CVE-2025-23963
Svetoslav Marinov (Slavi),Orbisius Simple Notice,Unknown,CVE-2025-24634
Swift Project,Swift ASN1,1.0.0,CVE-2025-0343
Syed Amir Hussain,Custom Post,Unknown,CVE-2025-23566
SzMake,Contact Form 7 Anti Spambot,Unknown,CVE-2025-23862
TC,Ajax WP Query Search Filter,Unknown,CVE-2025-23926
TCS,BaNCS,10,CVE-2025-0202
TDuckCloud,tduck-platform,4.0,CVE-2025-0558
TECNO,com.transsion.carlcare,6.2.8.1,CVE-2025-0590
TMD,Custom Header Menu,4.0.0.1,CVE-2025-0214
TP-Link,TL-SG108E,1.0.0 Build 20201208 Rel. 40304,"CVE-2025-0729, CVE-2025-0730"
TandoorRecipes,recipes,< 1.5.24,CVE-2025-23211
TandoorRecipes,recipes,< 1.5.28,"CVE-2025-23212, CVE-2025-23213"
Tarak Patel,Post Carousel & Slider,Unknown,CVE-2025-22750
Tarak Patel,WP Query Creator,Unknown,CVE-2025-22264
Taras Dashkevych,Error Notification,Unknown,CVE-2025-23902
TaskMeister,Accessibility Task Manager,Unknown,CVE-2025-23725
Taskbuilder Team,Taskbuilder,Unknown,CVE-2025-22716
"Tatsuya Fukata, Alexander Ovsov",wp-flickr-press,Unknown,CVE-2025-23894
TaxoPress,WordPress Tag Cloud Plugin – Tag Groups,Unknown,CVE-2025-22735
Team118GROUP,Team 118GROUP Agent,Unknown,CVE-2025-23512
TeamViewer,Remote Full Client,15.0.0,CVE-2025-0065
TechMix,Event Countdown Timer Plugin by TechMix,Unknown,CVE-2025-23699
TechnoWich,WP ULike,Unknown,CVE-2025-22738
Telstra,Smart Modem Gen 2,20250115,CVE-2025-0697
TemplatesNext,TemplatesNext ToolKit,Unknown,CVE-2025-22310
Tenda,A18,15.13.07.09,CVE-2025-0848
Tenda,AC15,15.13.07.13,CVE-2025-0566
Tenda,AC6,15.03.05.16,CVE-2025-0349
Tenda,AC8,16.03.10.20,CVE-2025-0528
Teplitsa. Technologies for Social Good,ShMapper by Teplitsa,Unknown,CVE-2025-24674
The Events Calendar,The Events Calendar,Unknown,CVE-2025-24537
The GNU C Library,glibc,2.13,CVE-2025-0395
TheInnovs,ElementsCSS Addons for Elementor,Unknown,CVE-2025-22321
